倒序	倒序 ‮
岛屿	岛屿 🗾
倒	倒 🤒
倒彩	倒彩 🖕
倒带	倒带 ⏪
倒帶	倒帶 ⏪
倒挂列车	倒挂列车 🚟
倒掛列車	倒掛列車 🚟
倒楣	倒楣 😫
倒霉	倒霉 😓
倒退	倒退 ⏪ ◀
島	島 🏝
島國	島國 🗾
島嶼	島嶼 🗾
導彈	導彈 🚀
導入手機	導入手機 📲
道观	道观 🛐
道觀	道觀 🛐
道教	道教 ☯
道路施工	道路施工 🚧
道歉	道歉 🙇
稻	稻 🌾
稻穗	稻穗 🌾
稻田	稻田 🌾
稻子	稻子 🌾
得	得 🉐 👌
得意	得意 😎 😤
德国	德国 🇩🇪
德国国旗	德国国旗 🇩🇪
德國	德國 🇩🇪
德國國旗	德國國旗 🇩🇪
的士	的士 🚕 🚖
灯	灯 💡
灯笼	灯笼 🏮
灯泡	灯泡 💡
登山列车	登山列车 🚞
登山列車	登山列車 🚞
登山自行车手	登山自行车手 🚵
登山自行車手	登山自行車手 🚵
燈	燈 💡
燈籠	燈籠 🏮
燈泡	燈泡 💡
等待	等待 ⌛
等一会	等一会 ☝
等一會	等一會 ☝
低落	低落 😞 🙍
低音量	低音量 🔉
底片	底片 🎞
地瓜	地瓜 🍠
地球	地球 🌍 🌎 🌏 🌐
地铁	地铁 Ⓜ 🚇 🚈
地鐵	地鐵 Ⓜ 🚇 🚈
地图	地图 🗺
地圖	地圖 🗺
地下铁	地下铁 🚇
地下鐵	地下鐵 🚇
第二卷	第二卷 📗
第三卷	第三卷 📘
第四卷	第四卷 📙
第一	第一 ☝
第一卷	第一卷 📕
睇戏	睇戏 🎬
睇戲	睇戲 🎬
颠倒	颠倒 🙃
顛倒	顛倒 🙃
点火	点火 🔥
点燃	点燃 🔥
点心	点心 🍪
点烟	点烟 🚬
点著	点著 🔥
点子	点子 💡
點火	點火 🔥
點燃	點燃 🔥
點心	點心 🍪
點菸	點菸 🚬
點煙	點煙 🚬
點著	點著 🔥
點子	點子 💡
电	电 ⚡
电插头	电插头 🔌
电车	电车 🚃 🚊 🚎
电池	电池 🔋
电单车	电单车 🏍
电灯	电灯 💡
电灯泡	电灯泡 💡
电动火车	电动火车 🚊
电话	电话 ☎ 📞 📱
电话机	电话机 ☎
电话听筒	电话听筒 📞
电话亭	电话亭 ➿
电话筒	电话筒 📞
电力火车	电力火车 🚊
电量	电量 🔋
电脑	电脑 💻 🖥
电脑包	电脑包 💼
电视	电视 📺
电视机	电视机 📺
电视塔	电视塔 🗼
电视游乐器	电视游乐器 🎮
电塔	电塔 🗼
电台	电台 🗼
电影	电影 🎥 🎬
电影打板	电影打板 🎬
电影院	电影院 🎥 🎦
电邮	电邮 📧
电源	电源 🔌
电子邮件	电子邮件 📧
電	電 ⚡
電插頭	電插頭 🔌
電車	電車 🚃 🚊 🚎
電池	電池 🔋
電單車	電單車 🏍
電燈	電燈 💡
電燈泡	電燈泡 💡
電動火車	電動火車 🚊
電話	電話 ☎ 📞 📱
電話機	電話機 ☎
電話聽筒	電話聽筒 📞
電話亭	電話亭 ➿
電話筒	電話筒 📞
電力火車	電力火車 🚊
電量	電量 🔋
電腦	電腦 💻 🖥
電腦包	電腦包 💼
電視	電視 📺
電視機	電視機 📺
電視塔	電視塔 🗼
電視遊樂器	電視遊樂器 🎮
電塔	電塔 🗼
電台	電台 🗼
電臺	電臺 🗼
電影	電影 🎥 🎬
電影打板	電影打板 🎬
電影院	電影院 🎥 🎦
電郵	電郵 📧
電源	電源 🔌
電子郵件	電子郵件 📧
雕像	雕像 🗽
钓鱼	钓鱼 🎣
钓鱼场	钓鱼场 🎣
调暗	调暗 🔅
调低	调低 🔽
调高	调高 🔼
调亮	调亮 🔆
调色	调色 🎨
调色板	调色板 🎨
调色盘	调色盘 🎨
釣魚	釣魚 🎣
釣魚場	釣魚場 🎣
調暗	調暗 🔅
調低	調低 🔽
調高	調高 🔼
調亮	調亮 🔆
調色	調色 🎨
調色板	調色板 🎨
調色盤	調色盤 🎨
跌	跌 📉
跌势	跌势 📉
跌勢	跌勢 📉
碟片	碟片 💽
丁丁	丁丁 🚎
盯	盯 👁
顶	顶 🆙 👍
顶呱呱	顶呱呱 👍
頂	頂 🆙 👍
頂呱呱	頂呱呱 👍
东帝汶	东帝汶 🇹🇱
东加	东加 🇹🇴
东京	东京 🗻
东正教	东正教 ☦
東帝汶	東帝汶 🇹🇱
東加	東加 🇹🇴
東京	東京 🗻
東正教	東正教 ☦
动车	动车 🚅
动物	动物 🐀 🐁 🐂 🐃 🐄 🐅 🐆 🐇 🐈 🐉 🐊 🐋 🐌 🐍 🐎 🐏 🐐 🐑 🐒 🐓 🐔 🐕 🐖 🐗 🐘 🐙 🐚 🐛 🐜 🐝 🐞 🐟 🐠 🐡 🐢 🐣 🐤 🐥 🐦 🐧 🐨 🐩 🐪 🐫 🐬 🐭 🐮 🐯 🐰 🐱 🐲 🐳 🐴 🐵 🐶 🐷 🐸 🐹 🐺 🐻 🐼 🐽 🐾
动物表情	动物表情 🐮 🐸
动物足印	动物足印 🐾
洞	洞 🕳
動車	動車 🚅
動物	動物 🐀 🐁 🐂 🐃 🐄 🐅 🐆 🐇 🐈 🐉 🐊 🐋 🐌 🐍 🐎 🐏 🐐 🐑 🐒 🐓 🐔 🐕 🐖 🐗 🐘 🐙 🐚 🐛 🐜 🐝 🐞 🐟 🐠 🐡 🐢 🐣 🐤 🐥 🐦 🐧 🐨 🐩 🐪 🐫 🐬 🐭 🐮 🐯 🐰 🐱 🐲 🐳 🐴 🐵 🐶 🐷 🐸 🐹 🐺 🐻 🐼 🐽 🐾
動物表情	動物表情 🐮 🐸
動物足印	動物足印 🐾
都市	都市 🏙
都行	都行 😶
逗你玩	逗你玩 😜
嘟嘴	嘟嘴 😗 😚 🙎
读书	读书 📖 🤓
读书人	读书人 🤓
獨角獸	獨角獸 🦄
讀書	讀書 📖 🤓
讀書人	讀書人 🤓
独角兽	独角兽 🦄
赌博	赌博 🎰 🎲
赌博机	赌博机 🎰
赌场	赌场 🎰
赌马	赌马 🏇
赌钱	赌钱 🎰
賭博	賭博 🎰 🎲
賭博機	賭博機 🎰
賭場	賭場 🎰
賭馬	賭馬 🏇
賭錢	賭錢 🎰
度假	度假 🏖
渡口	渡口 ⛴
渡轮	渡轮 ⚓ ⛴
渡輪	渡輪 ⚓ ⛴
短袖	短袖 👕 👚
缎带	缎带 🎀
緞帶	緞帶 🎀
堆雪人	堆雪人 ⛄
对比	对比 🆚
对不对	对不对 😈
对不起	对不起 🙏
对话框	对话框 🗯
对决	对决 🆚
对抗	对抗 🆚
对上	对上 🆚
兌換	兌換 💱
兑换	兑换 💱
對比	對比 🆚
對不對	對不對 😈
對不起	對不起 🙏
對話框	對話框 🗯
對決	對決 🆚
對抗	對抗 🆚
對上	對上 🆚
盾	盾 🛡
盾牌	盾牌 🔰 🛡
多哥	多哥 🇹🇬
多米尼加	多米尼加 🇩🇴
多米尼加共和国	多米尼加共和国 🇩🇴
多米尼克	多米尼克 🇩🇲
多明尼加	多明尼加 🇩🇴
多明尼加共和國	多明尼加共和國 🇩🇴
多人	多人 👥
多选框	多选框 ☑
多選框	多選框 ☑
多云	多云 ☁ ⛅
多云间晴	多云间晴 🌤
多雲	多雲 ☁ ⛅
多雲間晴	多雲間晴 🌤
夺冠	夺冠 🏆
奪冠	奪冠 🏆
俄国	俄国 🇷🇺
俄国国旗	俄国国旗 🇷🇺
俄國	俄國 🇷🇺
俄國國旗	俄國國旗 🇷🇺
俄罗斯	俄罗斯 🇷🇺
俄羅斯	俄羅斯 🇷🇺
娥眉月	娥眉月 🌒
峨眉月	峨眉月 🌙
额	额 😢 😥 😿
額	額 😢 😥 😿
惡鬼	惡鬼 👹
惡魔	惡魔 👿 😈
厄瓜多	厄瓜多 🇪🇨
厄瓜多尔	厄瓜多尔 🇪🇨
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亚	厄立特里亚 🇪🇷
厄立特里亞	厄立特里亞 🇪🇷
厄利垂亚	厄利垂亚 🇪🇷
厄利垂亞	厄利垂亞 🇪🇷
呃	呃 😢 😿
恶鬼	恶鬼 👹
恶魔	恶魔 👿 😈
饿了	饿了 😋
餓了	餓了 😋
鳄	鳄 🐊
鳄鱼	鳄鱼 🐊
鱷	鱷 🐊
鱷魚	鱷魚 🐊
儿	儿 👦
儿子	儿子 👦 👨‍👩‍👦
兒	兒 👦
兒子	兒子 👦 👨‍👩‍👦
耳	耳 👂
耳朵	耳朵 👂
耳放	耳放 🎧
耳机	耳机 🎧
耳機	耳機 🎧
耳仔	耳仔 👂
二	二 2⃣
二头肌	二头肌 💪
二頭肌	二頭肌 💪
发火	发火 😡
发件匣	发件匣 📤
发件箱	发件箱 📤
发件箱托盘	发件箱托盘 📤
发廊	发廊 💈
发烧	发烧 🤒
发誓	发誓 ✊
发送邮件	发送邮件 📩
发言	发言 💬
发言气球	发言气球 💬
发言中	发言中 💬
发邮件	发邮件 📩
發火	發火 😡
發件匣	發件匣 📤
發件箱	發件箱 📤
發件箱托盤	發件箱托盤 📤
發燒	發燒 🤒
發誓	發誓 ✊
發送郵件	發送郵件 📩
發言	發言 💬
發言氣球	發言氣球 💬
發言中	發言中 💬
發郵件	發郵件 📩
法国	法国 🇫🇷
法国国旗	法国国旗 🇫🇷
法国王室	法国王室 ⚜
法國	法國 🇫🇷
法國國旗	法國國旗 🇫🇷
法國王室	法國王室 ⚜
法拉利	法拉利 🏎
法兰西	法兰西 ⚜
法蘭西	法蘭西 ⚜
法轮	法轮 ☸
法轮大法	法轮大法 ☸
法轮功	法轮功 ☸
法輪	法輪 ☸
法輪大法	法輪大法 ☸
法輪功	法輪功 ☸
法罗群岛	法罗群岛 🇫🇴
法羅群島	法羅群島 🇫🇴
法属玻里尼西亚	法属玻里尼西亚 🇵🇫
法属圭亚那	法属圭亚那 🇬🇫
法属南部领地	法属南部领地 🇹🇫
法属南方属地	法属南方属地 🇹🇫
法屬玻里尼西亞	法屬玻里尼西亞 🇵🇫
法屬圭亞那	法屬圭亞那 🇬🇫
法屬南部領地	法屬南部領地 🇹🇫
法屬南方屬地	法屬南方屬地 🇹🇫
髮廊	髮廊 💈
帆	帆 ⛵
帆船	帆船 ⛵
番茄	番茄 🍅
番薯	番薯 🍠
翻书	翻书 📖
翻書	翻書 📖
蕃茄	蕃茄 🍅
蕃薯	蕃薯 🍠
繁星	繁星 ✨
反对	反对 🙅
反對	反對 🙅
返回	返回 🔙
犯困	犯困 😪
泛舟	泛舟 🚣
饭	饭 🍚
饭店	饭店 🏨
饭盒	饭盒 🍱
饭团	饭团 🍙
梵蒂冈	梵蒂冈 🇻🇦
梵蒂岡	梵蒂岡 🇻🇦
飯	飯 🍚
飯店	飯店 🏨
飯盒	飯盒 🍱
飯團	飯團 🍙
飯糰	飯糰 🍙
方程式	方程式 🏎
方块	方块 ◻ ◼ ♦
方塊	方塊 ◻ ◼ ♦
方片	方片 ♦
房屋	房屋 🏠 🏡
房子	房子 🏠 🏡
放大镜	放大镜 🔍 🔎
放大鏡	放大鏡 🔍 🔎
放射	放射 ☢
放射线	放射线 ☢
放射線	放射線 ☢
放射性	放射性 ☢
放松	放松 😌
放鬆	放鬆 😌
放心	放心 😌
放映	放映 🎥
放映机	放映机 📽
放映機	放映機 📽
放映室	放映室 🎦
飞镖	飞镖 🎯
飞弹	飞弹 🚀
飞机	飞机 ✈
飞鸟	飞鸟 🐦
飞吻	飞吻 😘
飞行	飞行 ✈
妃	妃 👸
妃嫔	妃嫔 👸
妃嬪	妃嬪 👸
妃子	妃子 👸
非常感谢	非常感谢 🙏
非常感謝	非常感謝 🙏
非常好	非常好 👍
非礼勿视	非礼勿视 🙈
非礼勿听	非礼勿听 🙉
非礼勿言	非礼勿言 🙊
非禮勿視	非禮勿視 🙈
非禮勿聽	非禮勿聽 🙉
非禮勿言	非禮勿言 🙊
非饮用水	非饮用水 🚱
非飲用水	非飲用水 🚱
非洲	非洲 🌍
非洲雄鹰	非洲雄鹰 🇳🇬
非洲雄鷹	非洲雄鷹 🇳🇬
非洲之角	非洲之角 🇸🇴
飛鏢	飛鏢 🎯
飛彈	飛彈 🚀
飛機	飛機 ✈
飛鳥	飛鳥 🐦
飛吻	飛吻 😘
飛行	飛行 ✈
菲律宾	菲律宾 🇵🇭
菲律賓	菲律賓 🇵🇭
肥猪	肥猪 🐖
肥豬	肥豬 🐖
斐济	斐济 🇫🇯
斐濟	斐濟 🇫🇯
废话	废话 🙄
废了	废了 😖
废纸箩	废纸箩 🚮
廢話	廢話 🙄
廢了	廢了 😖
廢紙籮	廢紙籮 🚮
分手	分手 💔
分析报告	分析报告 📊
分析報告	分析報告 📊
芬兰	芬兰 🇫🇮
芬蘭	芬蘭 🇫🇮
坟	坟 ⚰
墳	墳 ⚰
愤怒	愤怒 💢 😡
憤怒	憤怒 💢 😡
丰收	丰收 🎑
风	风 💨
风车之国	风车之国 🇳🇱
风吹落叶	风吹落叶 🍃
风景	风景 🏞
风景区	风景区 🏞
风铃	风铃 🎐
风铃节	风铃节 🎐
风台	风台 🌀
枫	枫 🍁
枫叶	枫叶 🍁
枫叶之国	枫叶之国 🇨🇦
封口	封口 🤐
封路	封路 ⛔
封装	封装 📦
封裝	封裝 📦
風	風 💨
風車之國	風車之國 🇳🇱
風吹落葉	風吹落葉 🍃
風景	風景 🏞
風景區	風景區 🏞
風鈴	風鈴 🎐
風鈴節	風鈴節 🎐
風颱	風颱 🌀
楓	楓 🍁
楓葉	楓葉 🍁
楓葉之國	楓葉之國 🇨🇦
蜂	蜂 🐝
蜂蜜	蜂蜜 🍯
蜂蜜罐	蜂蜜罐 🍯
豐收	豐收 🎑
凤梨	凤梨 🍍
鳳梨	鳳梨 🍍
佛得角	佛得角 🇨🇻
佛殿	佛殿 🛐
佛堂	佛堂 🛐
佛珠	佛珠 📿
否决	否决 🙅
否決	否決 🙅
夫妇	夫妇 👫 💑
夫婦	夫婦 👫 💑
夫妻	夫妻 👫
孵化	孵化 🐣
孵化器	孵化器 🐣
孵小鸡	孵小鸡 🐣
孵小雞	孵小雞 🐣
扶桑花	扶桑花 🌺
芙蓉	芙蓉 🌺
服务员	服务员 💁
服務員	服務員 💁
服装	服装 🎩 👑 👒 👓 👔 👕 👖 👗 👘 👙 👚 👛 👜 👝 👞 👟 👠 👡 👢
服裝	服裝 🎩 👑 👒 👓 👔 👕 👖 👗 👘 👙 👚 👛 👜 👝 👞 👟 👠 👡 👢
浮云	浮云 ☁
浮雲	浮雲 ☁
符号	符号 © ® ‼ ⁉ ™ ℹ ↔ ↕ ↖ ↗ ↘ ↙ ↩ ↪ ⏫ ⏬ Ⓜ ☑ ♻ ⚓ ✔ ✖ ✳ ✴ ❌ ❎ ❓ ❔ ❕ ❗ ❤ ➕ ➖ ➗ ➡ ➰ ➿ ⤴ ⤵ ⬅ ⬆ ⬇ ⭐ ⭕ 〰 〽 ㊗ ㊙ 🆑 🆒 🆓 🆔 🆕 🆖 🆗 🆘 🆙 🆚 🈚 🈯 🈲 🈳 🈴 🈵 🈶 🈷 🈸 🈹 🈺 🉐 🉑 🔀 🔁 🔂 🔄 🔙 🔚 🔛 🔜 🔝 🔟 🔠 🔡 🔢 🔣 🔤 🔮 🔯 🔰 🔱 🔼 🔽
符号键盘	符号键盘 🔣
符號	符號 © ® ‼ ⁉ ™ ℹ ↔ ↕ ↖ ↗ ↘ ↙ ↩ ↪ ⏫ ⏬ Ⓜ ☑ ♻ ⚓ ✔ ✖ ✳ ✴ ❌ ❎ ❓ ❔ ❕ ❗ ❤ ➕ ➖ ➗ ➡ ➰ ➿ ⤴ ⤵ ⬅ ⬆ ⬇ ⭐ ⭕ 〰 〽 ㊗ ㊙ 🆑 🆒 🆓 🆔 🆕 🆖 🆗 🆘 🆙 🆚 🈚 🈯 🈲 🈳 🈴 🈵 🈶 🈷 🈸 🈹 🈺 🉐 🉑 🔀 🔁 🔂 🔄 🔙 🔚 🔛 🔜 🔝 🔟 🔠 🔡 🔢 🔣 🔤 🔮 🔯 🔰 🔱 🔼 🔽
符號鍵盤	符號鍵盤 🔣
福克兰群岛	福克兰群岛 🇫🇰
福克蘭群島	福克蘭群島 🇫🇰
辐射	辐射 ☢
複選框	複選框 ☑
複雜	複雜 🤔
輻射	輻射 ☢
父	父 👨
父亲	父亲 👨
父親	父親 👨
复选框	复选框 ☑
复杂	复杂 🤔
盖饭	盖饭 🍛
盖亚那	盖亚那 🇬🇾
蓋飯	蓋飯 🍛
蓋亞那	蓋亞那 🇬🇾
干杯	干杯 🍻
甘比亚	甘比亚 🇬🇲
甘比亞	甘比亞 🇬🇲
柑橘	柑橘 🍊
尴尬	尴尬 😅
尷尬	尷尬 😅
感动	感动 😹
感動	感動 😹
感恩节	感恩节 🦃
感恩節	感恩節 🦃
感激不盡	感激不盡 🙏
感激不尽	感激不尽 🙏
感冒	感冒 😷
感情	感情 💑
感谢	感谢 🙏
感謝	感謝 🙏
橄榄球	橄榄球 🏈 🏉
橄榄之国	橄榄之国 🇹🇳
橄榄枝	橄榄枝 🕊
橄欖球	橄欖球 🏈 🏉
橄欖之國	橄欖之國 🇹🇳
橄欖枝	橄欖枝 🕊
冈比亚	冈比亚 🇬🇲
刚果	刚果 🇨🇬
刚果共和国	刚果共和国 🇨🇬
刚果金	刚果金 🇨🇩
刚果民主共和国	刚果民主共和国 🇨🇩
岡比亞	岡比亞 🇬🇲
钢笔	钢笔 ✒ 🖋
钢琴	钢琴 🎹
剛果	剛果 🇨🇬
剛果共和國	剛果共和國 🇨🇬
剛果金	剛果金 🇨🇩
剛果民主共和國	剛果民主共和國 🇨🇩
鋼筆	鋼筆 ✒ 🖋
鋼琴	鋼琴 🎹
港口	港口 ⚓
杠铃	杠铃 🏋
槓鈴	槓鈴 🏋
戆居	戆居 🐷
戇居	戇居 🐷
高度	高度 ↕
高尔夫	高尔夫 ⛳ 🏌
高尔夫球	高尔夫球 ⛳ 🏌
高爾夫	高爾夫 ⛳ 🏌
高爾夫球	高爾夫球 ⛳ 🏌
高跟鞋	高跟鞋 👠
高卢雄鸡	高卢雄鸡 🇫🇷
高盧雄雞	高盧雄雞 🇫🇷
高帽	高帽 🎩
高烧	高烧 🤒
高燒	高燒 🤒
高速	高速 🛣
高速公路	高速公路 🛣
高速列车	高速列车 🚄 🚅
高速列車	高速列車 🚄 🚅
高速路	高速路 🛣
高铁	高铁 🚄 🚅
高鐵	高鐵 🚄 🚅
高兴	高兴 😀 😃 😄 😊 😸 😺
高興	高興 😀 😃 😄 😊 😸 😺
高压	高压 ⚡
高压电	高压电 ⚡
高壓	高壓 ⚡
高壓電	高壓電 ⚡
高音量	高音量 🔊
高原雄鹰	高原雄鹰 🇲🇽
高原雄鷹	高原雄鷹 🇲🇽
高中	高中 🏫
糕点	糕点 🍰
糕點	糕點 🍰
镐	镐 ⛏
鎬	鎬 ⛏
哥弟	哥弟 👬
哥俩	哥俩 👬
哥俩好	哥俩好 👬
哥倆	哥倆 👬
哥倆好	哥倆好 👬
哥伦比亚	哥伦比亚 🇨🇴
哥倫比亞	哥倫比亞 🇨🇴
哥妹	哥妹 👫
哥斯达黎加	哥斯达黎加 🇨🇷
哥斯達黎加	哥斯達黎加 🇨🇷
哥斯大黎加	哥斯大黎加 🇨🇷
鸽	鸽 🕊
鸽子	鸽子 🕊
割	割 🈹
歌记号	歌记号 〽
歌記號	歌記號 〽
歌谣开始记号	歌谣开始记号 〽
歌謠開始記號	歌謠開始記號 〽
鴿	鴿 🕊
鴿子	鴿子 🕊
格恩济	格恩济 🇬🇬
格恩濟	格恩濟 🇬🇬
格林纳达	格林纳达 🇬🇩
格林納達	格林納達 🇬🇩
格陵兰	格陵兰 🇬🇱
格陵蘭	格陵蘭 🇬🇱
格鲁吉亚	格鲁吉亚 🇬🇪
格魯吉亞	格魯吉亞 🇬🇪
格瑞那达	格瑞那达 🇬🇩
格瑞那達	格瑞那達 🇬🇩
格子军	格子军 🇭🇷
格子軍	格子軍 🇭🇷
格子旗	格子旗 🏁
葛摩	葛摩 🇰🇲
蛤蟆	蛤蟆 🐸
个人	个人 👤
個人	個人 👤
给钱	给钱 🤑
給錢	給錢 🤑
根西	根西 🇬🇬
耿西	耿西 🇬🇬
工厂	工厂 🏭
工廠	工廠 🏭
工程师	工程师 👷
工程師	工程師 👷
工地	工地 🏗
工具	工具 ✂ 🔋 🔌 🔍 🔎 🔏 🔐 🔑 🔒 🔓 🔔 🔖 🔗 🔘 🔦 🔧 🔨 🔩 🔪 🔫 🔬 🔭 🛠
工具盒	工具盒 🛠
工具箱	工具箱 🛠
工人	工人 👷
工业区	工业区 🏭
工業區	工業區 🏭
工字钉	工字钉 📌
工字釘	工字釘 📌
弓	弓 🏹
公车	公车 🚌 🚍 🚎 🚐
公车站	公车站 🚏
公車	公車 🚌 🚍 🚎 🚐
公車站	公車站 🚏
公放	公放 📢
公共汽车	公共汽车 🚌 🚍 🚎 🚐
公共汽车站	公共汽车站 🚏
公共汽車	公共汽車 🚌 🚍 🚎 🚐
公共汽車站	公共汽車站 🚏
公共小巴	公共小巴 🚐
公鸡	公鸡 🐓
公雞	公雞 🐓
公交	公交 🚌
公交车	公交车 🚌
公交车站	公交车站 🚏
公交車	公交車 🚌
公交車站	公交車站 🚏
公牛	公牛 🐂
公事包	公事包 💼
公文包	公文包 💼
公羊	公羊 🐏
公园	公园 ⛲
公園	公園 ⛲
公猪	公猪 🐗
公豬	公豬 🐗
公主	公主 👸
宫灯	宫灯 🏮
宮燈	宮燈 🏮
恭贺	恭贺 ㊗
恭賀	恭賀 ㊗
勾	勾 ✅ ✔
勾选	勾选 ☑ ✅
勾選	勾選 ☑ ✅
狗	狗 🐕 🐩 🐶
狗狗	狗狗 🐩
狗脸	狗脸 🐶
狗臉	狗臉 🐶
狗年	狗年 🐶
狗肉	狗肉 🐕
狗屎	狗屎 💩
狗头	狗头 🐶
狗頭	狗頭 🐶
购物	购物 🛍
购物袋	购物袋 🛍
購物	購物 🛍
購物袋	購物袋 🛍
估吓	估吓 😏
古巴	古巴 🇨🇺
古堡	古堡 🏰
骨灰	骨灰 ⚱
骨灰瓶	骨灰瓶 ⚱
骨头肉	骨头肉 🍖
骨頭肉	骨頭肉 🍖
鼓掌	鼓掌 👏
瓜德罗普	瓜德罗普 🇬🇵
瓜德羅普	瓜德羅普 🇬🇵
瓜地洛普	瓜地洛普 🇬🇵
瓜地马拉	瓜地马拉 🇬🇹
瓜地馬拉	瓜地馬拉 🇬🇹
瓜皮帽	瓜皮帽 👲
挂历	挂历 🗓
掛曆	掛曆 🗓
乖	乖 😬
乖孩子	乖孩子 🤓
怪兽	怪兽 👾
怪獸	怪獸 👾
怪物	怪物 👹 👾
关岛	关岛 🇬🇺
关东煮	关东煮 🍢
关机	关机 📴
关机模式	关机模式 📴
观光列车	观光列车 🚟
观赏鱼	观赏鱼 🐠
冠军	冠军 🏆
冠軍	冠軍 🏆
棺	棺 ⚰
棺材	棺材 ⚰
關島	關島 🇬🇺
關東煮	關東煮 🍢
關機	關機 📴
關機模式	關機模式 📴
觀光列車	觀光列車 🚟
觀賞魚	觀賞魚 🐠
灌木	灌木 🌳
光碟	光碟 💽 💿 📀
光明	光明 🌞
光明节	光明节 🕎
光明節	光明節 🕎
光盘	光盘 💿 📀
光盤	光盤 💿 📀
广播	广播 📢 📻
廣播	廣播 📢 📻
圭亚那	圭亚那 🇬🇾
圭亞那	圭亞那 🇬🇾
龟	龟 🐢
闺蜜情谊	闺蜜情谊 👩‍❤‍👩
閨蜜情誼	閨蜜情誼 👩‍❤‍👩
龜	龜 🐢
轨道车	轨道车 🚝
轨迹球	轨迹球 🖲
诡计	诡计 🌚 😏
軌道車	軌道車 🚝
軌跡球	軌跡球 🖲
鬼	鬼 👻
鬼怪	鬼怪 👹
鬼话	鬼话 🙄
鬼话连篇	鬼话连篇 🙄
鬼話	鬼話 🙄
鬼話連篇	鬼話連篇 🙄
鬼魂	鬼魂 👻
鬼火	鬼火 😡
鬼脸	鬼脸 👻 👿 😜
鬼臉	鬼臉 👻 👿 😜
詭計	詭計 🌚 😏
贵宾狗	贵宾狗 🐩
贵宾犬	贵宾犬 🐩
貴賓狗	貴賓狗 🐩
貴賓犬	貴賓犬 🐩
跪拜	跪拜 🙇
滚	滚 😛
滚犊子	滚犊子 😛
滾	滾 😛
滾犢子	滾犢子 😛
国际	国际 🌐
国家公园	国家公园 🏞
國際	國際 🌐
國家公園	國家公園 🏞
果酒	果酒 🍸
果岭	果岭 ⛳
果嶺	果嶺 ⛳
果汁	果汁 🍹
裹头	裹头 👳
裹頭	裹頭 👳
过山车	过山车 🎢
過山車	過山車 🎢
哈	哈 😄 😸
哈哈	哈哈 😄 😸
哈哈哈	哈哈哈 😄
哈哈哈哈	哈哈哈哈 😄
哈雷彗星	哈雷彗星 ☄
哈密瓜	哈密瓜 🍈
哈萨克	哈萨克 🇰🇿
哈萨克斯坦	哈萨克斯坦 🇰🇿
哈薩克	哈薩克 🇰🇿
哈薩克斯坦	哈薩克斯坦 🇰🇿
孩子	孩子 👦 👧
海贝	海贝 🐚
海貝	海貝 🐚
海边	海边 🏖
海邊	海邊 🏖
海产	海产 🐟
海產	海產 🐟
海岛	海岛 🏝
海島	海島 🏝
海底世界	海底世界 🐳
海地	海地 🇭🇹
海关	海关 🛃
海關	海關 🛃
海浪	海浪 🌊
海螺	海螺 🐚
海上活动	海上活动 ⛵
海上活動	海上活動 ⛵
海上日出	海上日出 🌅
海滩	海滩 🏖
海灘	海灘 🏖
海棠	海棠 🌺
海豚	海豚 🐬
海王戟	海王戟 🔱
海鲜	海鲜 🐟
海鮮	海鮮 🐟
海啸	海啸 🌊
海嘯	海嘯 🌊
海洋世界	海洋世界 🐳
海运	海运 ⚓ 🚢
海運	海運 ⚓ 🚢
害怕	害怕 😨 😱
害臊	害臊 😳
害羞	害羞 ☺ 😊 😚 😳
酣睡	酣睡 💤
憨	憨 🐷
含蓄	含蓄 ☺
韩国	韩国 🇰🇷
韩国国旗	韩国国旗 🇰🇷
韩圆	韩圆 💴
韓國	韓國 🇰🇷
韓國國旗	韓國國旗 🇰🇷
韓圓	韓圓 💴
喊	喊 🗣
喊话	喊话 🗣
喊話	喊話 🗣
汉堡	汉堡 🍔
汉堡包	汉堡包 🍔
汉服	汉服 👘
汗	汗 💦 😅 😓 😥 😰 😿
汗滴	汗滴 💧
汗水	汗水 💦
汗颜	汗颜 💧 😓
汗顏	汗顏 💧 😓
漢堡	漢堡 🍔
漢堡包	漢堡包 🍔
漢服	漢服 👘
航空	航空 ✈
豪猪	豪猪 🐗
豪豬	豪豬 🐗
好	好 🆗 👌 🙂
好吧	好吧 😉 😪
好棒	好棒 👍 😺
好吃	好吃 😋 😍 😻
好喫	好喫 😋 😍 😻
好的	好的 👌 😉
好複雜	好複雜 🤔
好复杂	好复杂 🤔
好好笑	好好笑 😆
好假	好假 😓
好囧	好囧 😅 😰
好窘	好窘 😅
好纠结	好纠结 😂 😹
好糾結	好糾結 😂 😹
好可怕	好可怕 😨
好萌	好萌 😊
好难	好难 😵
好难过	好难过 😩
好難	好難 😵
好難過	好難過 😩
好评	好评 💯
好評	好評 💯
好玩	好玩 😆
好味	好味 😋
好无聊	好无聊 😴
好無聊	好無聊 😴
好笑	好笑 😆
好学生	好学生 🤓
好學生	好學生 🤓
好运	好运 🍀
好運	好運 🍀
号角	号角 📯
號角	號角 📯
呵呵	呵呵 😄 🙃
喝咖啡	喝咖啡 ☕
合	合 🈴
合格	合格 🈴
合掌	合掌 🙏
和服	和服 👘
和平	和平 ☮ 🕊
和平鸽	和平鸽 🕊
和平鴿	和平鴿 🕊
和谐号	和谐号 🚅
