# 单字全码
缤	bbaaoo
芷	fkiiiv
芝	fkiioa
黹	fkiiou
𦭜	fkiiou
茋	fkiiua
锧	fkiouu
铚	fkiova
絷	fkiuaa
贽	fkiuao
挚	fkiuiu
值	fkiuoi
掷	fkiuou
摭	fkiuov
执	fkiuua
扺	fkiuua
指	fkiuua
鸷	fkiuua
侄	fkivao
止	fkiviv
祉	fkoaiv
禔	fkoaoi
之	fkoaoo
识	fkoaou
祇	fkoaua
祗	fkoaua
趾	fkoiiv
踯	fkoiou
蹢	fkoiov
踬	fkoiuu
晊	fkoiva
跱	fkoivo
跖	fkoivu
忮	fkoouo
窒	fkoova
吱	fkouoa
只	fkouoo
痓	fkovva
庤	fkovvo
痔	fkovvo
痣	fkovvo
旨	fkuaoi
炙	fkuaou
觯	fkuaou
氏	fkuava
疐	fkuoai
𨙸	fkuoai
支	fkuoao
直	fkuoia
膣	fkuooa
豸	fkuoou
卮	fkuuaa
脂	fkuuao
胝	fkuuav
徵	fkuuia
肢	fkuuoa
质	fkuuuo
制	fkuvii
稚	fkuvio
雉	fkuvio
智	fkuvoi
知	fkuvoo
稙	fkuvuo
秩	fkuvuv
郅	fkvaai
轵	fkvaou
致	fkvauv
轾	fkvava
至	fkvavo
郦	fkviai
栉	fkviia
职	fkviou
酯	fkviua
址	fkvoiv
志	fkvooa
埴	fkvouo
枳	fkvouo
枝	fkvuoa
植	fkvuoi
榰	fkvuov
殖	fkvuuo
栀	fkvuuv
桎	fkvvao
梽	fkvvoo
濯	flaaov
缴	flaaui
浊	flaiav
淖	flaivi
叕	flaoao
浞	flaoiv
汋	flauao
涿	flavua
佛	fliava
茁	fliiai
著	fliiuo
倬	fliivo
镯	flioia
䦃	flioii
拙	fliuai
擢	fliuao
捉	fliuoi
卓	flivuo
桌	flivvv
禚	floaou
诼	floavu
躅	floiia
晫	floiiv
着	flouia
焯	flouiv
灼	flouua
啄	flovua
酌	flviua
棹	flvivo
棁	flvouo
斫	flvuuu
椓	flvvua
琢	flvvvu
奘	fmaivu
幢	fmiaov
僮	fmiovo
撞	fmiuov
憧	fmooov
妆	fmovau
戆	fmovoa
装	fmovov
壮	fmovvo
庄	fmovvo
状	fmovvu
桩	fmvovu
纷	fnaauo
翂	fnaouo
瀵	fnaouv
汾	fnauoa
𣸣	fnauoi
芬	fniiuo
棻	fniivv
份	fniuoa
偾	fniuov
愤	fnoouo
吩	fnouoa
粉	fnouuo
粪	fnouvi
鲼	fnuauo
鼢	fnuiuo
分	fnuoau
忿	fnuooa
氛	fnuvuo
酚	fnviuo
坟	fnvoov
奋	fnvuia
豮	fnvuuo
焚	fnvvou
棼	fnvvuo
玢	fnvvuo
纺	fpaaov
防	fpaiov
妨	fpauov
蚄	fpiaov
芳	fpiiov
钫	fpioov
仿	fpiova
房	fpoaov
访	fpoaov
昉	fpoiov
邡	fpovai
方	fpovau
放	fpovuv
鲂	fpuaov
肪	fpuova
彷	fpuuov
舫	fpuuov
牥	fpuvov
匚	fpvaa
坊	fpvoov
枋	fpvova
抓	fqiuuu
挝	fqiuvi
爪	fquuio
髽	fqviii
缝	fraaua
赗	fraoia
浲	frauao
沨	frauau
沣	fravvv
峰	friaua
蜂	friaua
崶	friavo
葑	friivo
锋	frioua
俸	frivvv
讽	froaua
烽	frouua
冯	frovaa
疯	frovua
唪	frovvv
凤	fruaao
逢	fruaoa
风	fruauo
封	frvovi
堼	frvovo
枫	frvuau
砜	frvuua
酆	frvvai
丰	frvvvi
奉	frvvvv
溠	fsaouv
发	fsauao
法	fsavoa
渣	fsavoi
罚	fsiaoa
眨	fsiauo
蚱	fsiauv
铡	fsioao
扎	fsiuaa
挓	fsiuoo
拃	fsiuuv
揸	fsiuvo
伐	fsivau
垡	fsivvo
诈	fsoauv
闸	fsoiia
阀	fsoiiv
哳	fsoiuu
咤	fsoooa
怍	fsoouv
鲝	fsouua
炸	fsouuv
吒	fsouva
咋	fsouvi
喋	fsovii
喳	fsovoi
痄	fsovuv
鲊	fsuauv
猹	fsuavo
齇	fsuiiv
齄	fsuivo
乏	fsuoao
劄	fsuvii
乍	fsuviv
筏	fsuviv
札	fsvaa
轧	fsvaaa
查	fsvoiv
榨	fsvooa
霅	fsvoov
栅	fsvuau
砟	fsvuuv
砝	fsvuvo
䃎	fsvuvu
楂	fsvvoi
珐	fsvvvo
赚	ftaoou
僎	ftiaaa
颛	ftiavu
撰	ftiuav
传	ftivva
啭	ftovai
馔	ftuaav
篆	ftuvaa
转	ftvavv
砖	ftvuvv
瑑	ftvvaa
专	ftvvao
绯	fwaaiv
沸	fwaava
淝	fwauai
妃	fwauav
飞	fwauoo
费	fwavao
菲	fwiiiv
芾	fwiivi
镄	fwioav
翡	fwivao
蜚	fwivia
剕	fwivii
非	fwiviv
斐	fwivov
棐	fwivvv
扉	fwoaiv
诽	fwoaiv
啡	fwoivv
悱	fwooiv
废	fwovau
痱	fwoviv
吠	fwovuo
狒	fwuaav
肥	fwuaiv
鲱	fwuaiv
腓	fwuivv
朏	fwuoai
肺	fwuvia
篚	fwuvvi
匪	fwvivv
霏	fwvoiv
榧	fwvviv
奘	fxaivu
幢	fxiaov
僮	fxiovo
撞	fxiuov
憧	fxooov
妆	fxovau
戆	fxovoa
装	fxovov
壮	fxovvo
庄	fxovvo
状	fxovvu
桩	fxvovu
终	fyaaua
盅	fyiaia
忠	fyiaoa
蚣	fyiauo
中	fyiavi
仲	fyiiav
众	fyiiii
茽	fyiiii
钟	fyioia
锺	fyiouv
冢	fyoavu
踵	fyoiuv
忪	fyoouo
衷	fyovia
螽	fyuaia
肿	fyuiav
舯	fyuuia
种	fyuvia
重	fyuvia
柊	fyvuao
沼	fzaauo
召	fzauoo
罩	fziaiv
䓬	fziiiv
钊	fzioii
招	fziuau
找	fziuva
诏	fzoaau
肇	fzoaav
昭	fzoiau
曌	fzoioo
照	fzoioo
啁	fzouav
着	fzouia
嘲	fzouoo
旐	fzovuv
兆	fzuoau
朝	fzuouu
爪	fzuuio
笊	fzuvuu
棹	fzvivo
赵	fzvouo
癸	gbaovv
氿	gbauau
妫	gbauou
姽	gbauua
贵	gbiaao
刿	gbiaii
嶲	gbiaio
眭	gbiavo
归	gbiuav
傀	gbiuia
郐	gbivai
刽	gbivii
诡	gboaua
炅	gboiou
晷	gboiua
跪	gboiua
闺	gboivo
宄	gbooua
廆	gbovui
庋	gbovuo
龟	gbuaia
鲑	gbuavo
鳜	gbuavu
鬼	gbuiao
皈	gbuiuu
簋	gbuvav
筀	gbuvvo
轨	gbvaua
桧	gbvivv
邽	gbvoai
圭	gbvovo
硅	gbvuvo
匦	gbvvai
柜	gbvvav
规	gbvvia
桂	gbvvov
瑰	gbvvui
珪	gbvvvo
鬶	gbvvvo
缑	gdaaia
购	gdaoua
沟	gdauaa
姤	gdauuu
媾	gdauvv
岣	gdiaua
苟	gdiiua
钩	gdioua
佝	gdiuao
拘	gdiuua
诟	gdoauu
勾	gduaao
雊	gduaio
句	gduao
够	gduaua
狗	gduaua
耇	gduoua
笱	gduvua
篝	gduvvv
鞲	gdvivv
彀	gdvoua
垢	gdvouu
构	gdvuaa
枸	gdvuao
觏	gdvvia
遘	gdvvoa
纥	geaauv
隔	geaivo
哿	geauvo
滆	geavoi
蛤	geiaiv
骼	geiaua
虼	geiauv
个	geiii
葛	geiioi
铬	geioua
镉	geiovo
搿	geiuiv
搁	geiuoi
仡	geiuva
合	geivoo
鸽	geivua
颌	geivvu
袼	geoaua
阁	geoiua
割	geooii
咯	geouao
盖	geouia
嗝	geovoi
疙	geovuv
各	geuaoo
胳	geuuao
舸	geuuvo
膈	geuvoi
戈	gevauo
革	geviia
鬲	gevoia
歌	gevoua
圪	gevouv
哥	gevovo
塥	gevovo
格	gevuao
硌	gevuua
澉	gfaavi
绀	gfaavi
淦	gfaioo
㽏	gfaiva
泔	gfavii
敢	gfavuv
苷	gfiivi
擀	gfiuuo
旰	gfoivv
咁	gfovii
赣	gfovua
疳	gfovvi
鳡	gfuavu
乾	gfuouv
肝	gfuvvi
秆	gfuvvv
竿	gfuvvv
橄	gfvavi
甘	gfviiv
酐	gfvivv
坩	gfvovi
赶	gfvovv
尴	gfvuii
感	gfvuoa
矸	gfvuvv
干	gfvvii
柑	gfvvii
杆	gfvvvi
玕	gfvvvv
夬	ggavuo
掴	ggiuia
拐	ggiuoa
怪	ggooao
乖	gguviv
溉	ghaavv
陔	ghaiov
赅	ghaoov
戤	ghauva
改	ghavuv
芥	ghiiiu
荄	ghiiov
钙	ghiovi
该	ghoaov
晐	ghoiov
盖	ghouia
概	ghvavv
丐	ghviva
垓	ghvoov
孤	gjaiuu
汩	gjaoii
沽	gjauoo
瀔	gjauov
姑	gjauuo
崮	gjiaia
蛊	gjiaia
鹘	gjiaua
固	gjiauo
罟	gjiauo
蛄	gjiauo
骨	gjiauu
菰	gjiiai
菇	gjiiau
䓛	gjiiav
蓇	gjiiia
锢	gjioia
钴	gjiouo
估	gjiuoo
雇	gjoaio
诂	gjoauo
咕	gjouoo
呱	gjouua
羖	gjouua
痼	gjovia
馉	gjuaia
鲴	gjuaia
觚	gjuauu
嘏	gjuoav
古	gjuooo
谷	gjuooo
辜	gjuoov
榖	gjuoua
鸪	gjuoua
故	gjuouv
股	gjuuaa
𦙶	gjuuoo
箍	gjuviu
臌	gjuvov
牯	gjuvuo
牿	gjuvuv
轱	gjvauo
贾	gjviao
酤	gjviuo
堌	gjvoia
瞽	gjvoia
毂	gjvoua
鼓	gjvouo
梏	gjvuvi
顾	gjvuvu
涡	glaoia
帼	gliaia
蜾	gliaia
蝈	gliaia
崞	gliaov
国	gliavv
果	gliavv
锅	gliooi
掴	gliuia
呙	gloiau
粿	glouia
馘	glouvo
郭	glovai
裹	glovia
猓	gluaia
馃	gluaia
腘	gluiav
虢	gluoiv
过	glvioa
聒	glviuv
埚	glvooi
椁	glvovo
洸	gmaiou
潢	gmavii
光	gmioua
咣	gmoiou
广	gmovuu
逛	gmuaoa
犷	gmuaov
胱	gmuiou
𨐈	gmvaio
桄	gmviou
垙	gmvoio
珖	gmvvio
艮	gnavva
茛	gniiav
哏	gnoavv
跟	gnoiav
根	gnvavv
亘	gnvoiv
纲	gpaaia
港	gpavii
岗	gpiaia
刚	gpiaii
冈	gpiauo
罡	gpiavi
钢	gpioia
扛	gpiuvi
戆	gpovoa
冮	gpovvi
肛	gpuviv
筻	gpuvvi
缸	gpuvvi
㭎	gpviau
堽	gpvoia
矼	gpvuvi
杠	gpvviv
括	gqiuuv
挂	gqiuvo
褂	gqoavo
诖	gqoavo
剐	gqoiii
寡	gqoovu
呱	gqouua
瓜	gquuao
胍	gquuua
刮	gquvii
鸹	gquvua
卦	gqvoio
坬	gqvouu
栝	gqvuvi
绠	graavi
颈	graovu
浭	gravia
羹	grouou
赓	grovao
庚	grovav
哽	grovia
鹒	grovua
鲠	gruavi
更	grviav
耿	grviou
埂	grvovi
梗	grvvia
耕	grvvvv
尕	gsauiu
伽	gsiauo
钆	gsioaa
尜	gsiuvu
咖	gsoauo
噶	gsoiio
嘎	gsovui
旮	gsuaoi
胳	gsuuao
轧	gsvaaa
夹	gsvouv
尬	gsvuiu
戛	gsvuva
贯	gtaaao
纶	gtaaiu
毌	gtaaiv
灌	gtaiio
观	gtaoia
矜	gtaoio
涫	gtaooa
蒄	gtiioa
莞	gtiioo
鹳	gtiiua
倌	gtiooa
掼	gtiuaa
祼	gtoaia
冠	gtoavv
惯	gtooaa
官	gtooia
爟	gtouii
关	gtouvv
鳏	gtuaia
馆	gtuaoo
盥	gtuiia
罐	gtuvii
筦	gtuvoo
管	gtuvoo
棺	gtvooa
瓘	gtvvii
琯	gtvvoo
给	gwaaiv
绲	gwaaoi
滚	gwaovu
衮	gwovuo
鲧	gwuaua
辊	gwvaoi
棍	gwvoiv
磙	gwvuov
洸	gxaiou
潢	gxavii
光	gxioua
咣	gxoiou
广	gxovuu
逛	gxuaoa
犷	gxuaov
胱	gxuiou
𨐈	gxvaio
桄	gxviou
垙	gxvoio
珖	gxvvio
弓	gyavaa
蚣	gyiauo
拱	gyiuvi
供	gyivii
宫	gyoooo
唝	gyoviv
觥	gyuaio
躬	gyuiav
公	gyuoao
肱	gyuvua
汞	gyviaa
䢼	gyviai
贡	gyviao
功	gyviau
恭	gyviiu
巩	gyviua
共	gyviuo
攻	gyviuv
工	gyvivv
廾	gyvuii
龚	gyvuvi
珙	gyvvvi
缟	gzaaov
藁	gziivv
镐	gzioov
锆	gziouv
搞	gziuov
诰	gzoauv
杲	gzoivv
羔	gzouoo
糕	gzouou
高	gzovia
膏	gzovuu
睾	gzuivo
皋	gzuivu
郜	gzuvai
告	gzuvoo
稿	gzuvov
篙	gzuvov
筶	gzuvuv
槁	gzvovo
槔	gzvuia
缋	hbaaia
绘	hbaaiv
洄	hbaiav
隳	hbaiii
堕	hbaivo
浍	hbaivv
翚	hbaooa
贿	hbaovu
汇	hbavaa
翙	hbiaao
蛔	hbiaia
回	hbiaoo
蟪	hbiavi
茴	hbiiia
荟	hbiiiv
蕙	hbiivi
辉	hbiooa
挥	hbiuoa
会	hbivva
喙	hboaav
诲	hboauv
诙	hboavu
袆	hboavv
讳	hboavv
晖	hboioa
晦	hboiuv
悔	hboouv
恢	hboovu
烩	hbouiv
烠	hbouvu
咴	hbovuo
麾	hbovuv
毁	hbuiua
卉	hbuovu
徽	hbuuia
秽	hbuvia
惠	hbvioa
桧	hbvivv
恚	hbvooa
虺	hbvuia
灰	hbvuou
彗	hbvvav
橞	hbvvia
慧	hbvvoa
珲	hbvvoa
骺	hdiauu
侯	hdiavu
候	hdiiav
吼	hdoaiv
喉	hdoiav
鲎	hdooua
糇	hdouia
吽	hdouvv
瘊	hdovia
猴	hduaia
鲘	hduauu
齁	hduiua
後	hduuaa
郈	hduuai
逅	hduuoa
后	hduuoo
垕	hduuvo
篌	hduvia
堠	hdvoia
厚	hdvuoi
纥	heaauv
涸	heaiav
渴	heaoiu
翯	heaoov
贺	heauao
河	heavoi
菏	heiiav
荷	heiiiv
郃	heivai
盒	heivia
何	heivoi
合	heivoo
龁	heivuv
龢	heivuv
壑	heivvo
颌	heivvu
褐	heoaoi
鹤	heoaua
诃	heoavo
嗬	heoiii
阂	heoiov
曷	heoiua
鹖	heoiua
阖	heoivo
喝	heooiu
熇	heouov
劾	heovau
吓	heovio
呵	heovoi
饸	heuaiv
貉	heuoua
盉	heuvia
禾	heuviu
和	heuvoo
鞨	hevioi
翮	hevoao
盍	hevoia
垎	hevoua
核	hevova
赫	hevovo
涵	hfaaio
汉	hfaaoo
函	hfaiai
浛	hfaioa
瀚	hfauoo
憨	hfavoa
汗	hfavvi
崡	hfiaai
蚶	hfiavi
嵅	hfiavu
虷	hfiavv
菡	hfiiai
蔊	hfiiou
含	hfiooo
颔	hfiovu
撖	hfiuav
捍	hfiuoi
撼	hfiuvu
扞	hfiuvv
罕	hfoavv
阚	hfoiav
晗	hfoiio
暵	hfoivi
旱	hfoivv
㘎	hfooia
悍	hfoooi
寒	hfoooo
憾	hfoovu
焓	hfouio
焊	hfouoi
喊	hfovuv
犴	hfuavv
鼾	hfuivv
翰	hfuoia
韩	hfuovv
邯	hfviai
酣	hfvivi
垾	hfvooi
邗	hfvvai
琀	hfvvio
顸	hfvvvu
淮	hgaiov
踝	hgoiia
怀	hgoovu
徊	hguuia
坏	hgvovu
槐	hgvuia
骇	hhaaov
孩	hhaiov
海	hhauva
骸	hhiaov
咍	hhoaoo
嗨	hhoauv
嗐	hhoooa
咳	hhoova
害	hhoovv
亥	hhovau
胲	hhuova
氦	hhuvov
醢	hhvivu
还	hhvuoa
滹	hjaiva
浒	hjaoau
沪	hjaoav
淴	hjauau
嫭	hjauiv
湖	hjauoo
弧	hjavuu
囫	hjiaua
鹘	hjiaua
岵	hjiauo
蝴	hjiauo
芴	hjiiua
葫	hjiiuo
护	hjiuoa
虎	hjivua
虍	hjivva
扈	hjoaoa
戽	hjoaoo
隺	hjoaui
祜	hjoauo
许	hjoauv
户	hjoavu
昈	hjoioa
昒	hjoiua
唬	hjoiva
惚	hjooua
怙	hjoouo
唿	hjouau
呼	hjouou
烀	hjouuo
煳	hjouuo
糊	hjouuo
冱	hjovva
鳠	hjuaii
鹱	hjuaii
忽	hjuaoa
斛	hjuaoo
猢	hjuauo
狐	hjuauu
鹕	hjuoua
胡	hjuouu
乎	hjuouv
和	hjuvoo
笏	hjuvua
鹄	hjuvua
互	hjvaav
轷	hjvauo
醐	hjviuo
鄠	hjvoai
壶	hjvoii
縠	hjvoua
觳	hjvoua
核	hjvova
槲	hjvuau
瓠	hjvuuu
琥	hjvviv
瑚	hjvvuo
濩	hlaiii
漷	hlaovo
活	hlauvi
彟	hlavii
蠖	hliaii
夥	hliaua
劐	hliiii
获	hliiua
藿	hliivo
镬	hlioii
钬	hlioou
锪	hlioua
伙	hlioui
货	hliuao
佸	hliuvi
攉	hliuvo
祸	hloaoi
嚄	hloiii
豁	hloouo
火	hlouii
㸌	hlouvo
嚯	hlovoa
和	hluvoo
霍	hlvoio
惑	hlvooa
或	hlvova
耠	hlvviv
隍	hmaiui
滉	hmaoii
湟	hmauia
媓	hmauui
潢	hmavii
幌	hmiaoi
蝗	hmiaui
蟥	hmiavi
荒	hmiiov
𨱑	hmioii
锽	hmioui
谎	hmoaii
晃	hmoiio
慌	hmooii
恍	hmooio
惶	hmooui
喤	hmouia
煌	hmouui
肓	hmovuu
癀	hmovvi
凰	hmuaui
鳇	hmuaui
㿠	hmuiio
遑	hmuioa
皇	hmuivv
徨	hmuuui
艎	hmuuui
篁	hmuvui
簧	hmuvvi
黄	hmviia
磺	hmvuvi
瑝	hmvvui
璜	hmvvvi
哏	hnoavv
恨	hnooav
痕	hnovav
狠	hnuaav
很	hnuuav
绗	hpaauu
沆	hpaovu
吭	hpoovu
颃	hpovvu
航	hpuuov
行	hpuuvv
巷	hpviav
杭	hpvovu
夯	hpvuau
桁	hpvuui
珩	hpvvuu
骅	hqaaiu
滑	hqaiaa
婳	hqauvi
花	hqiiiu
铧	hqioiu
化	hqiuaa
华	hqiuuo
话	hqoauv
哗	hqoiua
猾	hquaia
觟	hquavo
划	hqvaii
画	hqviav
桦	hqviua
砉	hqvvvu
姮	hrauvo
蘅	hriiuu
哼	hroovo
恒	hroovo
亨	hrovoa
衡	hruuua
鸻	hruuua
桁	hrvuui
横	hrvvii
珩	hrvvuu
蛤	hsiaiv
虾	hsiavi
铪	hsioiv
哈	hsoivo
呵	hsovoi
幻	htaaaa
缳	htaaia
缓	htaauo
澴	htaiai
漶	htaiav
浣	htaooa
欢	htaoua
涣	htauai
嬛	htauia
洹	htavoi
圜	htiaia
患	htiaoa
鹮	htiaua
峘	htiavo
萑	htiiio
荁	htiivo
镮	htioia
锾	htiouo
擐	htiuia
换	htiuua
㬊	htoiuo
寰	htooia
逭	htoooa
宦	htoovi
唤	htouai
焕	htouua
豢	htouvu
痪	htovua
郇	htuaai
奂	htuaia
獾	htuaii
鲩	htuaoo
貆	htuovo
鬟	htviia
垸	htvooo
还	htvuoa
桓	htvvoi
𤩽	htvvuo
环	htvvvu
溷	hwaiav
浑	hwaoav
混	hwaoiv
婫	hwauoi
婚	hwauua
黑	hwiaoo
荤	hwiiva
诨	hwoaoa
嗨	hwoauv
嘿	hwoiao
阍	hwoiua
惛	hwooua
昏	hwuaoi
馄	hwuaoi
珲	hwvvoa
魂	hwvvui
隍	hxaiui
滉	hxaoii
湟	hxauia
媓	hxauui
潢	hxavii
幌	hxiaoi
蝗	hxiaui
蟥	hxiavi
荒	hxiiov
𨱑	hxioii
锽	hxioui
谎	hxoaii
晃	hxoiio
慌	hxooii
恍	hxooio
惶	hxooui
喤	hxouia
煌	hxouui
肓	hxovuu
癀	hxovvi
凰	hxuaui
鳇	hxuaui
㿠	hxuiio
遑	hxuioa
皇	hxuivv
徨	hxuuui
艎	hxuuui
篁	hxuvui
簧	hxuvvi
黄	hxviia
磺	hxvuvi
瑝	hxvvui
璜	hxvvvi
泓	hyaava
红	hyaavi
纮	hyaavu
弘	hyavao
洪	hyavii
鸿	hyavua
虹	hyiavi
荭	hyiiaa
蕻	hyiivi
薨	hyiivu
讧	hyoavi
闳	hyoivu
黉	hyoovi
宏	hyoovu
烘	hyouvi
吽	hyouvv
哄	hyovii
竑	hyovvu
訇	hyuaov
谼	hyuovi
轰	hyvaao
翃	hyvuao
硔	hyvuvi
玒	hyvvvi
灏	hzaoio
淏	hzaoiv
濠	hzaovo
好	hzauai
浩	hzauvi
蚝	hziauv
薅	hziiau
蒿	hziiov
镐	hzioov
侴	hzivav
嚆	hzoiio
颢	hzoivu
昊	hzoivv
嚎	hzoovo
嗥	hzouia
号	hzovaa
鄗	hzovai
毫	hzovuv
豪	hzovvu
皞	hzuiui
皓	hzuiuv
貉	hzuoua
郝	hzvoai
壕	hzvoov
耗	hzvvuv
缙	jbaavi
浕	jbaavu
津	jbaavv
浸	jbaavv
卺	jbaiaa
劲	jbaoau
赆	jbaoav
矜	jbaoio
妗	jbauio
溍	jbavii
尽	jbavoo
巾	jbiaii
仅	jbiaoo
紧	jbiiaa
荩	jbiiav
今	jbioaa
金	jbioo
锦	jbioui
祲	jboaav
衿	jboaio
谨	jboavi
襟	jboavv
烬	jbouav
廑	jbovvi
噤	jbovvv
馑	jbuavi
近	jbuuoa
斤	jbuuvi
筋	jbuvua
堇	jbviia
觐	jbviia
晋	jbvioi
靳	jbviuu
墐	jbvovi
殣	jbvuvi
珒	jbvvav
槿	jbvvii
进	jbvvoa
瑨	jbvvvi
瑾	jbvvvi
琎	jbvvvu
禁	jbvvvv
剿	jcaaii
糸	jcaaiu
绞	jcaaov
缴	jcaaui
骄	jcaauv
滘	jcaoau
姣	jcauov
漖	jcauov
娇	jcauuv
湫	jcauvi
浇	jcavau
峧	jciaov
蛟	jciaov
峤	jciauv
蕉	jciiio
藠	jciioi
斠	jciioo
僬	jciiov
茭	jciiov
艽	jciiua
焦	jciooo
铰	jcioov
鹪	jcioua
佼	jciovu
搅	jciuoo
挢	jciuuv
侥	jcivau
叫	jcoaii
噍	jcoiov
跤	jcoiov
觉	jcooia
窖	jcoouv
燋	jcouio
嚼	jcouoo
郊	jcovai
䴔	jcovua
交	jcovuo
狡	jcuaov
饺	jcuaov
鲛	jcuaov
角	jcuaua
皎	jcuiov
皦	jcuiui
皭	jcuiuo
敫	jcuiuv
教	jcuouv
胶	jcuovu
徼	jcuuui
脚	jcuvoa
矫	jcuvuv
较	jcvaov
轿	jcvauv
醮	jcviio
酵	jcviuo
椒	jcvivv
校	jcvovu
礁	jcvuio
璬	jcvvui
结	jdaavo
岊	jdaiia
阶	jdaiiu
孑	jdaivv
姐	jdauia
婕	jdauva
湝	jdavau
届	jdavia
洁	jdavoo
界	jdiaiu
蚧	jdiaiu
骱	jdiaiu
睫	jdiava
蜐	jdiavo
节	jdiiai
芥	jdiiiu
价	jdiiui
藉	jdiivv
偈	jdioiu
介	jdiuii
揭	jdiuoi
接	jdiuov
捷	jdiuva
拮	jdiuvo
借	jdivii
褯	jdoaov
诘	jdoavo
讦	jdoavv
诫	jdoavv
嗟	jdoouv
悈	jdoovv
羯	jdouoi
疖	jdovai
喈	jdovau
疥	jdoviu
竭	jdovoi
解	jduaau
鲒	jduavo
桀	jduavv
劼	jduoau
截	jduoio
街	jduuvo
秸	jduvvo
皆	jdvaui
劫	jdvoau
杰	jdvooo
颉	jdvovu
檞	jdvuau
碣	jdvuoi
㛃	jdvvau
楷	jdvvau
玠	jdvviu
桔	jdvvoo
戒	jdvvui
澈	jeaova
扯	jeiuiv
撤	jeiuov
㬚	jeoiov
彻	jeuuva
掣	jeuviu
车	jevavi
坼	jevouu
砗	jevuva
骣	jfaaav
缠	jfaaov
潺	jfaavu
澶	jfaovi
浐	jfaovo
瀍	jfaovu
婵	jfauou
孱	jfavai
羼	jfavou
辿	jfiaoa
蝉	jfiaou
巉	jfiaua
蟾	jfiaua
蒇	jfiivu
儳	jfioai
铲	jfioov
镵	jfioua
镡	jfiovi
掺	jfiuao
搀	jfiuua
觇	jfivia
禅	jfoaou
襜	jfoaua
谄	jfoaua
谗	jfoaua
旵	jfoiia
阐	jfoiou
躔	jfoiov
忏	jfoouv
冁	jfouav
单	jfouia
廛	jfovia
产	jfovou
颤	jfovvu
馋	jfuaua
韂	jfviua
梴	jfvuiv
刬	jfvvii
经	jgaaao
泾	jgaaov
阱	jgaivv
劲	jgaoau
刭	jgaoii
迳	jgaooa
颈	jgaovu
婧	jgauvv
弪	jgavao
汫	jgavvu
睛	jgiavv
茎	jgiiao
荆	jgiiii
儆	jgiiiu
警	jgiiov
敬	jgiiuv
菁	jgiivv
镜	jgioov
晶	jgoioi
景	jgoiov
憬	jgoooi
惊	jgooov
粳	jgouvi
精	jgouvv
痉	jgovao
京	jgoviu
竞	jgovou
麖	jgovov
净	jgovua
竟	jgovua
竫	jgovua
旌	jgovuv
靖	jgovvv
猄	jguaov
獍	jguaov
胫	jguaov
鲸	jguaov
鼱	jguivv
兢	jguo
𠳬	jguouo
径	jguuao
腈	jguvvi
肼	jguvvu
箐	jguvvv
境	jgvoov
靓	jgvvia
璥	jgvvii
璟	jgvvoi
䴖	jgvvua
静	jgvvua
井	jgvvui
绝	jhaaua
孓	jhaioo
㵐	jhavuo
𨟠	jhiaai
崛	jhiaav
矍	jhiaio
倔	jhiavu
茝	jhiivi
蕨	jhiivu
鐍	jhioao
钗	jhioao
傕	jhioau
侪	jhiovu
镢	jhiovu
抉	jhiuav
掘	jhiuav
攫	jhiuia
拆	jhiuuu
撅	jhiuvu
柴	jhivvv
谲	jhoaao
诀	jhoaav
噱	jhoiva
蹶	jhoivu
觉	jhooia
嚼	jhouoo
爝	jhouuo
差	jhouvi
决	jhovav
瘥	jhovou
噘	jhovuo
觖	jhuaav
玃	jhuaia
角	jhuaua
獗	jhuavu
鳜	jhuavu
爵	jhuoav
豺	jhuovi
虿	jhvaia
桷	jhvuau
砄	jhvuav
劂	jhvuii
厥	jhvuou
玦	jhvvav
橛	jhvvuo
珏	jhvvvv
绌	jjaaai
滁	jjaaii
䢺	jjaiai
出	jjaiia
除	jjaiiv
濋	jjavva
黜	jjiaai
蜍	jjiaiv
俶	jjiivv
储	jjioau
锄	jjioia
搐	jjiuov
摴	jjiuvo
初	jjoaau
褚	jjoauo
躇	jjoiii
蹰	jjoivu
㤘	jjooua
怵	jjoovo
憷	jjoovv
畜	jjovia
刍	jjuaav
触	jjuaia
处	jjuaio
雏	jjuaio
矗	jjuouo
䝙	jjuovu
斶	jjuuia
础	jjvuai
楮	jjvuov
厨	jjvuvo
杵	jjvuvu
楚	jjvvai
亍	jjvvii
樗	jjvvoa
橱	jjvvuv
纪	jkaaav
畿	jkaaia
给	jkaaiv
骥	jkaaiv
继	jkaaou
缉	jkaaov
级	jkaaua
绩	jkaavv
瀱	jkaiai
亟	jkaiia
际	jkaivv
鸡	jkaoua
济	jkaovu
汲	jkauao
漈	jkauao
洎	jkauia
激	jkauia
嫉	jkauov
妓	jkauuo
姞	jkauuo
姬	jkauvi
己	jkavaa
即	jkavai
忌	jkavoa
暨	jkavoi
屐	jkavuu
既	jkavva
堲	jkavvo
彐	jkavvv
觊	jkiaia
嵴	jkiaov
岌	jkiaua
虮	jkiaua
羁	jkiavi
畸	jkiavu
罽	jkiavu
荠	jkiiov
蒺	jkiiov
蕺	jkiiov
芨	jkiiua
蓟	jkiiua
芰	jkiiuo
䓫	jkiivu
藉	jkiivv
偈	jkioiu
集	jkiovv
伋	jkiuao
伎	jkiuoa
挤	jkiuov
技	jkiuuo
掎	jkiuvu
乩	jkivaa
冀	jkivia
佶	jkivoo
记	jkoaav
讥	jkoaua
计	jkoauo
诘	jkoavo
