并不比	bbb
等到	drdz
当然是	dre
登山	dref
等衰	dreg
代人受过	dregi
电热水壶	dreh
等书	drej
灯饰	drek
登时	dreka
瞪视	dreki
等式	dreku
邓说	drel
等身	dren
登上	drep
电热水器	dreq
澄沙	dres
大润发	drf
灯坠	drfb
邓州	drfd
当然知道	drfdi
等着	drfe
瞪着	drfei
等幅	drfj
等值	drfk
等职	drfku
等分	drfn
登封	drfr
等重	drfy
灯罩	drfz
但如果	drg
等概	drgh
洞若观火	drgha
镫骨	drgj
等国	drgl
灯光	drgm
灯管	drgt
等给	drgw
灯光	drgx
等功	drgy
登高	drgz
等高	drgzu
大融合	drh
等会	drhb
灯会	drhbo
等候	drhd
灯海	drhh
灯虎	drhj
灯火	drhl
灯黑	drhw
等红	drhy
等号	drhz
狄仁杰	drj
等角	drjc
等车	drje
淡然处之	drjf
登出	drjj
断然拒绝	drjjo
等级	drjk
登记	drjka
登机	drjkav
灯具	drjl
等距	drjlu
等键	drjm
登场	drjp
登程	drjr
等价	drjs
待人接物	drjw
等奖	drjx
邓超	drjz
登科	drke
蹬开	drkh
遁入空门	drkm
邓肯	drkn
等宽	drkt
当然可以	drky
等考	drkz
当然了	drl
登临	drlb
登楼	drld
等了	drle
等来	drlh
打扰了	drli
登录	drlj
登陆	drlja
等绿	drll
邓论	drlw
灯亮	drlx
等量	drlxu
灯笼	drly
灯苗	drmc
等名	drmg
瞪目	drmj
呆若木鸡	drmjo
灯谜	drmk
登门	drmn
当然没有	drmy
等你	drnk
多如牛毛	drnm
登攀	drpf
等瓶	drpg
等批	drpk
蹬破	drpl
灯泡	drpz
电容器	drq
等着	drqe
瞪着	drqei
灯盏	drqf
澄清	drqg
灯烛	drqj
灯期	drqk
登账	drqp
等长	drqpu
等球	drqq
灯罩	drqz
登入	drrj
等日	drrk
等人	drrn
度日如年	drrno
得饶人处且饶人	drrr
等溶	drry
灯穗	drsb
等色	drse
灯伞	drsf
夺人所好	drsh
等速	drsj
等死	drsk
灯丝	drsko
夺人所爱	drsx
电热毯	drt
蹬腿	drtb
灯头	drtd
登台	drth
登天	drtm
灯塔	drts
等她	drtsu
等他	drtsui
动如脱兔	drtt
等同	drty
大人物	drw
荡然无存	drwc
等车	drwe
蹬踹	drwg
等外	drwh
等物	drwj
等持	drwk
等我	drwl
登我	drwla
瞪我	drwli
等温	drwn
单人床	drwo
等差	drws
登船	drwt
多任务	drwu
淡然无味	drww
邓超	drwz
得人心	drx
灯芯	drxb
等效	drxc
等些	drxd
等额	drxe
登岸	drxf
等闲	drxm
动人心魄	drxp
等下	drxs
灯下	drxso
邓选	drxt
等项	drxx
灯箱	drxxo
动人心弦	drxxv
丢人现眼	drxy
当然要	dry
等因	dryb
灯油	dryd
低人一等	drydi
等也	drye
瞪眼	dryf
登月	dryh
等以	dryk
等于	dryl
等压	drys
瞪圆	dryt
等圆	drytu
登云	dryw
等用	dryy
等腰	dryz
等罪	drzb
等揍	drzd
登载	drzh
灯组	drzj
凳子	drzk
灯座	drzl
第三步	dsb
达标	dsbc
打瘪	dsbd
大别	dsbdv
打扮	dsbf
第三部分	dsbfu
大半	dsbfv
大阪	dsbfva
大班	dsbfvv
大病	dsbg
大饼	dsbgv
大兵	dsbgvu
打败	dsbh
大白	dsbhv
大败	dsbhva
大摆	dsbhvi
大步	dsbj
大部	dsbjv
大补	dsbjvo
大笔	dsbk
大伯	dsbl
答辩	dsbm
搭边	dsbmi
大便	dsbmv
大变	dsbmvo
大本	dsbn
大棒	dsbp
打榜	dsbpi
大把	dsbs
打靶	dsbsi
大坝	dsbsv
大巴	dsbsva
第三版	dsbu
大北	dsbw
大悲	dsbwv
单丝不线	dsbx
单丝不成线	dsbxo
打包	dsbz
打爆	dsbzi
大包	dsbzv
大报	dsbzvi
大宝	dsbzvo
第三次	dsc
大凑	dscd
大餐	dscf
大菜	dsch
打词	dsck
打错	dscl
大错	dsclv
大仓	dscp
大村	dscw
大葱	dscy
打草	dscz
第三代	dsd
大队	dsdb
打堆	dsdbi
搭对	dsdbia
答对	dsdbu
大堆	dsdbv
打掉	dsdc
大调	dsdcv
大都	dsdd
打斗	dsddi
打叠	dsddia
打碟	dsddiv
大豆	dsddv
大跌	dsddvo
大兜	dsddvu
大碟	dsddvv
大的	dsde
打得	dsdei
大德	dsdev
大胆	dsdf
打单	dsdfi
打蛋	dsdfia
大单	dsdfv
达旦	dsdfvo
打定	dsdg
大度	dsdj
打赌	dsdji
大肚	dsdjv
打的	dsdk
打底	dsdki
大地	dsdkv
大抵	dsdkvi
大帝	dsdkvo
大敌	dsdkvu
大堤	dsdkvv
大多	dsdl
打点	dsdm
大典	dsdmv
大殿	dsdmva
搭档	dsdp
大大	dsds
打打	dsdsi
嗲嗲	dsdso
颠三倒四	dsdsu
大打	dsdsv
鞑靼	dsdsvv
打断	dsdt
大段	dsdtv
打盹	dsdw
打动	dsdy
大动	dsdyv
大洞	dsdyva
达到	dsdz
打到	dsdzi
打倒	dsdzii
答道	dsdzu
大道	dsdzv
大刀	dsdzva
大盗	dsdzvo
东三省	dse
大水	dseb
打水	dsebi
大睡	dsebv
打手	dsed
大手	dsedv
大寿	dsedvv
大赦	dsee
大山	dsef
搭讪	dsefi
大帅	dseg
大晒	dseh
大叔	dsej
第三世界	dseju
第三世界国家	dsejuv
大树	dsejv
大暑	dsejvo
大师	dsek
打湿	dseki
大事	dsekv
大湿	dsekva
大使	dsekvi
大石	dsekvv
达说	dsel
大神	dsen
大婶	dsenv
打伤	dsep
打赏	dsepi
搭上	dsepii
大声	dser
打胜	dseri
大胜	dserv
大圣	dserva
大省	dservi
大厦	dses
大顺	dsew
大少	dsez
第三者	dsf
大椎	dsfb
大洲	dsfd
打折	dsfe
打着	dsfei
打翻	dsff
打饭	dsffi
大凡	dsffv
大寨	dsfh
大宅	dsfhv
答复	dsfj
大幅	dsfjv
大伏	dsfjvi
大福	dsfjvo
大斧	dsfjvu
大夫	dsfjvv
大致	dsfk
大佛	dsfl
搭桌	dsfli
打桩	dsfm
打分	dsfn
大分	dsfnv
大方	dsfp
大放	dsfpv
大抓	dsfq
大风	dsfr
打发	dsfs
打法	dsfsi
大法	dsfsv
大发	dsfsva
大闸	dsfsvo
大专	dsft
打转	dsfti
第三方	dsfu
第三种	dsfuv
打非	dsfw
打飞	dsfwi
大费	dsfwv
打桩	dsfx
大众	dsfy
打中	dsfyi
大照	dsfz
大招	dsfzv
第三个	dsg
打鬼	dsgb
打钩	dsgd
打狗	dsgdi
大哥	dsge
打个	dsgei
打嗝	dsgeio
大个	dsgev
大干	dsgf
打怪	dsgg
大概	dsgh
打鼓	dsgj
大股	dsgjv
大姑	dsgjva
大鼓	dsgjvv
大国	dsgl
打过	dsgli
大过	dsglv
大锅	dsglvi
打光	dsgm
大纲	dsgp
大褂	dsgq
打更	dsgr
大关	dsgt
大观	dsgtv
达观	dsgtva
大官	dsgtvo
第四个	dsgu
打滚	dsgw
打给	dsgwi
打光	dsgx
打工	dsgy
大公	dsgyv
大功	dsgyvv
大搞	dsgz
大会	dshb
大吼	dshd
大河	dshe
大喝	dshev
大和	dshevu
大喊	dshf
打鼾	dshfi
大汉	dshfv
大汗	dshfva
大旱	dshfvo
打坏	dshg
大海	dshh
大骇	dshhv
大户	dshj
打呼	dshji
打虎	dshjii
大呼	dshjv
大湖	dshjva
大火	dshl
打火	dshli
大伙	dshlv
大获	dshlvi
大祸	dshlvo
大黄	dshm
大很	dshn
打夯	dshp
大话	dshq
打滑	dshqi
搭话	dshqio
答话	dshqu
大化	dshqv
大亨	dshr
大哈	dshs
大患	dsht
大黑	dshw
打昏	dshwi
打黑	dshwii
大黄	dshx
打黄	dshxi
大红	dshy
大好	dshz
打好	dshzi
搭好	dshzia
大号	dshzv
大扫除	dsj
打进	dsjb
打紧	dsjbi
大进	dsjbv
打搅	dsjc
大叫	dsjcv
大觉	dsjcvo
大脚	dsjcvu
大街	dsjd
打劫	dsjdi
打结	dsjdia
搭接	dsjdii
第三季度	dsjdu
第四季度	dsjdui
大姐	dsjdv
大节	dsjdvi
大解	dsjdvu
打车	dsje
搭车	dsjei
大车	dsjev
大产	dsjf
打颤	dsjfi
大惊	dsjg
打柴	dsjh
大觉	dsjhv
打出	dsjj
打怵	dsjji
答出	dsjju
大厨	dsjjv
大触	dsjjvu
大楚	dsjjvv
打击	dsjk
妲己	dsjka
大吉	dsjkv
大忌	dsjkva
大计	dsjkvo
大局	dsjl
大举	dsjlv
搭建	dsjm
打键	dsjmi
大件	dsjmv
大建	dsjmva
大臣	dsjn
大肠	dsjp
搭救	dsjq
大舅	dsjqv
达成	dsjr
打成	dsjri
搭乘	dsjriu
大成	dsjrv
大乘	dsjrvu
大家	dsjs
打架	dsjsi
打假	dsjsii
大加	dsjsv
大驾	dsjsva
答卷	dsjt
第四纪	dsju
大军	dsjw
大春	dsjwv
大奖	dsjx
大江	dsjxv
大降	dsjxva
大将	dsjxvo
第三产业	dsjy
大吵	dsjz
大潮	dsjzv
迪斯科	dsk
大亏	dskb
大口	dskd
搭扣	dskdi
大可	dske
大课	dskev
大刊	dskf
大块	dskg
打快	dskgi
打开	dskh
大开	dskhv
大楷	dskhvv
大哭	dskj
大阔	dskl
大矿	dskm
大康	dskp
打垮	dskq
大坑	dskr
打卡	dsks
大咖	dsksv
大卡	dsksvi
大咔	dsksvo
大款	dskt
大捆	dskw
大矿	dskx
打空	dsky
打孔	dskyi
大孔	dskyv
大考	dskz
大料	dslc
大楼	dsld
打猎	dsldi
打了	dsle
大了	dslev
打烂	dslf
大龄	dslg
打来	dslh
达赖	dslhv
大略	dslhvi
大来	dslhvv
大陆	dslj
打撸	dslji
打卤	dsljii
大路	dsljv
鞑虏	dsljvi
大力	dslk
搭理	dslki
打理	dslkiv
答礼	dslku
答理	dslkuv
大理	dslkv
大沥	dslkva
大里	dslkvi
大礼	dslkvo
大梨	dslkvu
达理	dslkvv
打咯	dsll
打落	dslli
大绿	dsllv
大落	dsllvi
大连	dslm
打脸	dslmi
大脸	dslmv
大浪	dslp
大流	dslq
大冷	dslr
耷拉	dsls
丢三落四	dslsu
打乱	dslt
大乱	dsltv
打雷	dslw
大类	dslwv
大量	dslx
打量	dslxi
大亮	dslxv
大梁	dslxva
达量	dslxvo
大龙	dsly
大佬	dslz
打捞	dslzi
打牢	dslzio
大牢	dslzv
大老	dslzvu
第三名	dsm
大岷	dsmb
大苗	dsmc
大谋	dsmd
打满	dsmf
打鸣	dsmg
大名	dsmgv
大明	dsmgvo
大麦	dsmh
大幕	dsmj
大米	dsmk
打磨	dsml
大漠	dsmlv
达摩	dsmlvo
大面	dsmm
大门	dsmn
大忙	dsmp
大谬	dsmq
大梦	dsmr
大妈	dsms
打骂	dsmsi
打码	dsmsiv
大骂	dsmsv
大麻	dsmsvo
大码	dsmsvv
第四名	dsmu
大媒	dsmw
大毛	dsmz
迪斯尼	dsn
大鸟	dsnc
大呢	dsne
大难	dsnf
大宁	dsng
大怒	dsnj
打你	dsnk
大逆	dsnkv
大女	dsnl
大挪	dsnlv
大年	dsnm
大牛	dsnq
大能	dsnr
达那	dsns
大内	dsnw
大娘	dsnx
大农	dsny
大脑	dsnz
打闹	dsnzi
大闹	dsnzv
第三批	dsp
打拼	dspb
打票	dspc
大盘	dspf
打平	dspg
大屏	dspgv
大瓶	dspgvo
打牌	dsph
大牌	dsphv
大派	dsphva
大排	dsphvi
大埔	dspj
大批	dspk
打破	dspl
大片	dspm
大篇	dspmv
大喷	dspn
大盆	dspnv
大胖	dspp
大鹏	dspr
大棚	dsprv
打怕	dsps
第四批	dspu
搭配	dspw
大炮	dspz
第三者	dsq
大秦	dsqb
大桥	dsqc
搭桥	dsqci
大且	dsqd
打折	dsqe
打着	dsqei
大战	dsqf
大展	dsqfv
大庆	dsqg
大清	dsqgv
大寨	dsqh
大宅	dsqhv
打住	dsqj
搭住	dsqji
大气	dsqk
打起	dsqki
打气	dsqkiu
搭起	dsqkiv
大起	dsqkv
大旗	dsqkvo
打趣	dsql
打去	dsqli
大区	dsqlv
大钱	dsqm
打钱	dsqmi
大千	dsqmv
打针	dsqn
大震	dsqnv
大振	dsqnvi
打仗	dsqp
大涨	dsqpv
大张	dsqpva
打球	dsqq
打正	dsqr
大政	dsqrv
大权	dsqt
大全	dsqtv
大圈	dsqtvi
第四章	dsqu
第三章	dsquv
大群	dsqw
搭腔	dsqx
大照	dsqz
大招	dsqzv
大肉	dsrd
大热	dsre
打入	dsrj
达日	dsrk
大箬	dsrl
大人	dsrn
打人	dsrni
达人	dsrnv
大任	dsrnvi
大嚷	dsrp
大荣	dsry
打扰	dsrz
打碎	dssb
大搜	dssd
打散	dssf
打伞	dssfi
大三	dssfv
大赛	dssh
大苏	dssj
打死	dssk
大肆	dsskv
大四	dsskvi
大所	dssl
大丧	dssp
搭撒	dsss
打算	dsst
大蒜	dsstv
大孙	dssw
大损	dsswv
大宋	dssy
打扫	dssz
大嫂	dsszv
第三天	dst
大腿	dstb
打退	dstbi
大跳	dstc
大条	dstcv
大头	dstd
打铁	dstdi
打头	dstdio
打探	dstf
大谈	dstfv
大厅	dstg
打听	dstgi
搭台	dsth
大图	dstj
答题	dstk
大体	dstkv
大题	dstkvo
大田	dstm
大堂	dstp
大唐	dstpv
打他	dsts
打团	dstt
大团	dsttv
大屯	dstw
打通	dsty
大同	dstyv
大统	dstyva
第三位	dsw
打锤	dswb
大锤	dswbv
大仇	dswd
打车	dswe
搭车	dswei
打扫卫生	dsweii
大车	dswev
大腕	dswf
打完	dswfi
大碗	dswfv
打外	dswh
大雾	dswj
大屋	dswjv
大悟	dswjvo
大吃	dswk
打我	dswl
打戳	dswli
大我	dswlv
大床	dswm
答问	dswn
大王	dswp
打望	dswpi
打王	dswpiv
大网	dswpv
大旺	dswpvo
打岔	dsws
大洼	dswsv
大船	dswt
大串	dswtv
第四位	dswu
大为	dsww
大卫	dswwv
大尉	dswwva
大床	dswx
大虫	dswy
大吵	dswz
大潮	dswzv
大小	dsxc
打消	dsxci
打小	dsxcii
大笑	dsxcv
大校	dsxcvv
大写	dsxd
答谢	dsxdu
大些	dsxdv
大额	dsxe
答案	dsxf
大案	dsxfv
大型	dsxg
大兴	dsxgv
大幸	dsxgvv
大学	dsxh
大碍	dsxhv
大爱	dsxhvu
大雪	dsxhvv
大二	dsxj
大喜	dsxk
大戏	dsxkv
大徐	dsxl
大仙	dsxm
大显	dsxmv
大限	dsxmva
大县	dsxmvi
大恩	dsxn
大修	dsxq
大袖	dsxqv
打下	dsxs
低三下四	dsxsi
大侠	dsxsv
大虾	dsxsvi
大选	dsxt
大象	dsxx
打响	dsxxi
大项	dsxxv
大熊	dsxy
大胸	dsxyv
大兄	dsxyvo
大凶	dsxyvu
大雄	dsxyvv
打熬	dsxz
打印	dsyb
大有	dsyd
打油	dsydi
大爷	dsye
打野	dsyei
大业	dsyev
大冶	dsyevo
大雁	dsyf
大眼	dsyfv
大烟	dsyfvo
答应	dsyg
打赢	dsygi
大英	dsygv
大营	dsygvi
大约	dsyh
答曰	dsyhu
大意	dsyk
答疑	dsyku
大衣	dsykv
大姨	dsykva
大义	dsykvo
大一	dsykvv
大雨	dsyl
打鱼	dsyli
大于	dsylv
大宇	dsylvo
大鱼	dsylvu
大洋	dsyp
打烊	dsypi
大牙	dsys
打压	dsysi
大雅	dsysv
大院	dsyt
大元	dsytv
大员	dsytvo
大运	dsyw
打晕	dsywi
答允	dsywu
大用	dsyy
打药	dsyz
大嘴	dszb
大醉	dszbv
大罪	dszbvi
大则	dsze
大赞	dszf
搭载	dszh
搭在	dszhi
大灾	dszhv
大足	dszj
打字	dszk
搭子	dszki
大字	dszkv
鞑子	dszkva
大紫	dszkvi
大作	dszl
打坐	dszli
大藏	dszp
大增	dszr
打杂	dszs
打砸	dszsi
打钻	dszt
大宗	dszy
打造	dszz
大早	dszzv
大造	dszzvu
大踏步	dtb
动弹不得	dtbd
短板	dtbf
短柄	dtbg
当头棒喝	dtbh
端部	dtbj
断臂	dtbk
短波	dtbl
跌停板	dtbo
短棒	dtbp
敌托邦	dtbu
断背	dtbw
端菜	dtch
短促	dtcj
短词	dtck
断词	dtcko
断层	dtcr
断掉	dtdc
端掉	dtdco
短调	dtdcu
短鲷	dtdcuu
短的	dtde
断定	dtdg
断代	dtdh
缎带	dtdha
得天独厚	dtdhu
端底	dtdk
断电	dtdm
端点	dtdmo
断点	dtdmoi
呆头呆脑	dtdn
断档	dtdp
短打	dtds
锻打	dtdsi
短短	dtdt
断顿	dtdw
短洞	dtdy
短刀	dtdz
短道	dtdzu
大屠杀	dte
断水	dteb
多退少补	dtebu
短寿	dted
断手	dtedo
短衫	dtef
椴树	dtej
短视	dtek
短时	dteku
端上	dtep
短绳	dter
顶头上司	dtes
地头蛇	dtev
大体上	dtevi
短少	dtez
煅烧	dtezo
短头发	dtf
短轴	dtfd
洞天福地	dtfda
端着	dtfe
短拙	dtfl
端庄	dtfm
端方	dtfp
短发	dtfs
锻轧	dtfsi
端庄	dtfx
断种	dtfy
党同伐异	dtfyi
端罩	dtfz
大头鬼	dtg
断轨	dtgb
短歌	dtge
段干	dtgf
大庭广众	dtgfv
端盖	dtgh
短骨	dtgj
断根	dtgn
锻钢	dtgp
短褂	dtgq
断更	dtgr
端给	dtgw
短棍	dtgwu
短工	dtgy
锻工	dtgyi
电梯公寓	dtgyiv
断供	dtgyo
端公	dtgyou
短稿	dtgz
洞庭湖	dth
断后	dthd
短褐	dthe
锻焊	dthf
断货	dthl
断航	dthp
短话	dthq
段话	dthqu
断魂	dthw
断黑	dthwo
断鸿	dthy
点头哈腰	dthyi
段号	dthz
短号	dthzu
大团结	dtj
短斤	dtjb
断交	dtjc
端接	dtjd
端静	dtjg
断绝	dtjh
短处	dtjj
端出	dtjjo
短句	dtjl
断句	dtjlo
短见	dtjm
锻件	dtjmi
短剑	dtjmu
断肠	dtjp
端酒	dtjq
短程	dtjr
打铁趁热	dtjri
断成	dtjro
段家	dtjs
短桨	dtjx
短炒	dtjz
端口	dtkd
断口	dtkdo
断开	dtkh
短裤	dtkj
短款	dtkt
短空	dtky
到头来	dtl
断料	dtlc
断裂	dtld
顶天立地	dtldv
断了	dtle
对他来说	dtlea
对她来说	dtleaa
端了	dtleo
端来	dtlh
短路	dtlj
断路	dtljo
段路	dtlju
端丽	dtlk
段落	dtll
锻炼	dtlm
底特律	dtlo
断流	dtlq
大讨论	dtlv
短论	dtlw
断粮	dtlx
断垄	dtly
但她们	dtm
断灭	dtmd
短命	dtmg
端木	dtmj
锻模	dtml
断面	dtmm
端门	dtmn
短码	dtms
短毛	dtmz
端凝	dtng
断奶	dtnh
端倪	dtnk
断念	dtnm
端纳	dtns
短拼	dtpb
短评	dtpg
动态平衡	dtph
短篇	dtpm
断片	dtpmo
短片	dtpmu
短篷	dtpr
短跑	dtpz
大提琴	dtq
断桥	dtqc
端着	dtqe
短缺	dtqh
打头阵	dtqi
短期	dtqk
端起	dtqko
断气	dtqkou
短浅	dtqm
断针	dtqn
断章	dtqp
断球	dtqq
端正	dtqr
短拳	dtqt
地铁站	dtqv
短裙	dtqw
短枪	dtqx
端墙	dtqxo
端罩	dtqz
带头人	dtr
登堂入室	dtre
断然	dtrf
断乳	dtrj
端日	dtrk
端刃	dtrn
短绒	dtry
断死	dtsk
断送	dtsy
断头台	dtt
断腿	dttb
短腿	dttbu
断头	dttd
锻铁	dttdi
道听途说	dtte
短亭	dttg
打退堂鼓	dttgi
短途	dttj
短筒	dtty
大逃亡	dtw
断炊	dtwb
断腕	dtwf
端午	dtwj
短池	dtwk
短文	dtwn
断网	dtwp
端茶	dtws
短袜	dtwsu
短传	dtwt
段位	dtww
断尾	dtwwo
短位	dtwwu
短尾	dtwwua
短炒	dtwz
独特性	dtx
短信	dtxb
短小	dtxc
短些	dtxd
大体相当	dtxdv
断案	dtxf
断行	dtxg
短靴	dtxh
短儿	dtxj
断续	dtxl
断线	dtxm
短线	dtxmu
东涂西抹	dtxmv
短袖	dtxq
断袖	dtxqo
端下	dtxs
短讯	dtxw
端详	dtxx
大同小异	dtxy
对他而言	dtxya
对她而言	dtxyaa
大题小作	dtxz
等同于	dty
短音	dtyb
当头一棒	dtybi
端游	dtyd
断页	dtye
断言	dtyf
端月	dtyh
短衣	dtyk
短语	dtyl
短于	dtylu
段誉	dtyluo
端阳	dtyp
锻压	dtys
断崖	dtyso
大团圆	dtyv
短韵	dtyw
断幺	dtyz
低头族	dtz
断罪	dtzb
端走	dtzd
短暂	dtzf
短租	dtzj
段子	dtzk
缎子	dtzka
端坐	dtzl
锻造	dtzz
倒差笔	dwb
蹲膘	dwbc
蹲班	dwbf
钝兵	dwbg
调查报告	dwbgo
顿笔	dwbk
顿踣	dwbl
敦本	dwbn
调查表	dwbo
大酬宾	dwbv
遁北	dwbw
第五次	dwc
炖菜	dwch
敦促	dwcj
顿挫	dwcl
断无此理	dwclo
遁藏	dwcp
低纬度	dwd
吨的	dwde
大吃大喝	dwdh
惇笃	dwdj
遁地	dwdk
大吹大擂	dwdl
独往独来	dwdlu
蹲点	dwdm
大吵大闹	dwdn
大尺度	dwdv
大彻大悟	dwdw
蹲到	dwdz
第五十	dwe
东窗事发	dwef
多愁善感	dweg
党委书记	dwej
单位时间	dwejo
动物世界	dwejv
顿时	dwek
墩实	dwekv
蹲身	dwen
墩身	dwenv
顿生	dwer
蛋炒饭	dwf
弹丸之地	dwfd
蹲着	dwfe
顿饭	dwff
电吹风	dwfi
蹲伏	dwfj
当务之急	dwfji
得治	dwfk
钝拙	dwfl
盾状	dwfm
盾状	dwfx
调查分析	dwfxo
第五个	dwg
盾构	dwgd
顿感	dwgf
墩高	dwgz
党委会	dwh
敦厚	dwhd
调查户口	dwhk
趸货	dwhl
敦煌	dwhm
钝化	dwhq
敦煌	dwhx
顿号	dwhz
端午节	dwj
钝角	dwjc
但我觉得	dwjd
调查结果	dwjg
顿觉	dwjh
对外经济	dwjj
吨级	dwjk
对外交流	dwjl
对外经贸	dwjm
顿成	dwjr
对外交往	dwjw
帝王将相	dwjx
对外经济贸易	dwjy
待我长发及腰	dwjyu
吊胃口	dwk
得亏	dwkb
沌口	dwkd
对外开放	dwkf
顿开	dwkh
蹲坑	dwkr
东床快婿	dwkx
都忘了	dwl
洞察力	dwla
钝劣	dwld
蹲了	dwle
对我来说	dwlea
炖烂	dwlf
敦伦	dwlw
达瓦里希	dwlx
第五名	dwm
蹲苗	dwmc
对我们来说	dwme
趸卖	dwmh
倒插门	dwmi
大五码	dwmv
吨煤	dwmw
对外贸易	dwmy
第五年	dwn
等外品	dwp
盾牌	dwph
惇朴	dwpj
第五批	dwpu
电位器	dwq
顿桥	dwqc
对外政策	dwqca
蹲着	dwqe
敦请	dwqg
洞察秋毫	dwqh
炖煮	dwqj
洞察其奸	dwqja
调查取证	dwqq
炖肉	dwrd
顿然	dwrf
第五人格	dwrg
遁入	dwrj
钝涩	dwse
睹物思人	dwsr
底朝天	dwt
蹲腿	dwtb
炖汤	dwtp
等问题	dwtu
大问题	dwtv
遁逃	dwtz
大无畏	dww
顿悟	dwwj
调查问卷	dwwjo
蹲窝	dwwl
趸船	dwwt
吨位	dwww
等温线	dwx
顿消	dwxc
冬虫夏草	dwxcu
调查显示	dwxe
弹无虚发	dwxf
遁形	dwxg
蹲儿	dwxj
雕虫小技	dwxju
第五项修炼	dwxl
蹲下	dwxs
独创性	dwxu
动物学	dwxv
大腕儿	dwxvu
钝响	dwxx
对我而言	dwxy
达斡尔族	dwxz
动物园	dwy
得有	dwyd
调查研究	dwyj
大吃一惊	dwyjv
调查员	dwyo
调查组	dwz
遁走	dwzd
蹲在	dwzh
顿足	dwzj
蹲坐	dwzl
盾增	dwzr
第二遍	dxb
多行不义必自毙	dxbb
大小不等	dxbd
大学毕业生	dxbe
当耳边风	dxbf
第二部分	dxbfu
大卸八块	dxbk
大学本科	dxbkv
单行本	dxbo
单细胞	dxboa
第二版	dxbu
第二步	dxbuv
大小便	dxbv
大西北	dxbvv
大学毕业	dxby
大小不一	dxbyv
第二次	dxc
第二次世界大战	dxcq
地下党	dxd
大喜大悲	dxdb
涤瑕荡秽	dxdh
代销店	dxdi
单行道	dxdo
第二代	dxdu
第二点	dxduv
档案袋	dxdv
大学生	dxe
大显身手	dxee
等闲视之	dxef
大学生活	dxeh
打下手	dxei
大显神通	dxet
德新社	dxeu
多小时	dxeui
答案是	dxeuo
多项式	dxeuv
地下水	dxev
地下室	dxevv
东西方	dxf
等闲之辈	dxfb
旦夕之间	dxfj
刀削斧刻	dxfk
断袖之癖	dxfp
断线风筝	dxfq
第二种	dxfu
定性分析	dxfx
第二个	dxg
电线杆	dxgi
电信公司	dxgs
第二个问题	dxgt
胆小鬼	dxgu
大峡谷	dxgv
档案馆	dxgvo
大喜过望	dxgw
都喜欢	dxh
大而化之	dxhf
低消耗	dxhi
冬奥会	dxhu
大学城	dxj
第二季度	dxjd
大学教授	dxje
大学出版社	dxjev
短小精悍	dxjh
电信局	dxji
妒贤嫉能	dxjn
单线程	dxjo
大相径庭	dxjt
多线程	dxju
大小姐	dxjv
档案局	dxjvo
第二产业	dxjy
多学科	dxk
单选框	dxko
掉下来	dxl
吊儿郎当	dxld
低效率	dxli
第二名	dxm
刀削面	dxma
冬小麦	dxmu
大熊猫	dxmv
第二年	dxn
东西南北	dxnb
倒行逆施	dxne
戴安娜	dxnu
邓小平	dxp
胆小怕事	dxpe
邓小平同志	dxpf
邓小平理论伟大旗帜	dxpfa
邓小平理论	dxpl
第二批	dxpu
大而全	dxq
大行其道	dxqd
打雪仗	dxqi
待下去	dxqu
第二章	dxquv
大型企业	dxqy
堆雪人	dxr
胆小如鼠	dxre
第二人生	dxreu
单相思	dxs
大写锁定键	dxsj
大写字母锁定键	dxsjv
大学四年	dxsn
第二天	dxt
第二天早上	dxte
低下头	dxti
低血糖	dxtiu
大兴土木	dxtm
歹戏拖棚	dxtp
德尔塔	dxtu
地下铁	dxtv
大系统	dxtvu
地形图	dxtvv
大学同学	dxtx
定心丸	dxw
大而无当	dxwd
第二位	dxwu
达尔文	dxwv
淡而无味	dxww
大象无形	dxwx
达尔文主义	dxwy
大小写	dxx
大兴安岭	dxxl
店小二	dxxo
单行线	dxxou
短信息	dxxu
短消息	dxxua
东西欧	dxxv
大猩猩	dxxvu
大学校园	dxxy
第二眼	dxy
得心应手	dxye
低效益	dxyi
打心眼里	dxyl
第二页	dxyu
都需要	dxyuv
大西洋	dxyv
大案要案	dxyx
大学英语	dxyy
到现在	dxz
到现在为止	dxzf
党小组	dxzi
德昂族	dxzu
东乡族	dxzv
第一步	dyb
冬滨	dybb
大言不惭	dybc
第一部分	dybf
冻冰	dybg
冬兵	dybgu
东白	dybh
东部	dybj
动笔	dybk
东波	dybl
大尾巴狼	dyblv
东边	dybm
第一版	dybu
第一遍	dybuv
东北	dybw
大洋彼岸	dybx
大有裨益	dyby
东宝	dybz
第一次	dyc
对与错	dyca
断垣残壁	dycb
第一次的	dycd
东侧	dyce
动彩	dych
动粗	dycj
动词	dyck
冬藏	dycp
第一次世界大战	dycq
董村	dycw
冬葱	dycy
东槽	dycz
多一点	dyd
赌一赌	dyda
大摇大摆	dydb
东都	dydd
懂得	dyde
懂的	dydeo
东德	dydev
洞顶	dydg
东岱	dydh
钓鱼岛	dydi
东渡	dydj
动地	dydk
动荡	dydp
东等	dydr
大鱼大肉	dydrv
东大	dyds
东段	dydt
第一代	dydu
都应当	dyduo
第一点	dyduv
等一等	dyduvu
得意的笑	dydx
东东	dydy
但一定要	dydyi
电源电压	dydyia
咚咚	dydyo
大眼瞪小眼	dydyv
动刀	dydz
多有得罪	dydzu
东道	dydzv
倒也是	dye
动手	dyed
多一事不如少一事	dyee
